,Date,Open,High,Low,Close,Volume
131,8-May-17,149.03,153.7,149.03,153.01,48752413
132,5-May-17,146.76,148.98,146.76,148.96,27327725
133,4-May-17,146.52,147.14,145.81,146.53,23371872
134,3-May-17,145.59,147.49,144.27,147.06,45697034
135,2-May-17,147.54,148.09,146.84,147.51,45352194
136,1-May-17,145.1,147.2,144.96,146.58,33602943
137,28-Apr-17,144.09,144.3,143.27,143.65,20860358
138,27-Apr-17,143.92,144.16,143.31,143.79,14246347
139,26-Apr-17,144.47,144.6,143.38,143.68,20041241
140,25-Apr-17,143.91,144.9,143.87,144.53,18871501
141,24-Apr-17,143.5,143.95,143.18,143.64,17134333
142,21-Apr-17,142.44,142.68,141.85,142.27,17320928
143,20-Apr-17,141.22,142.92,141.16,142.44,23319562
144,19-Apr-17,141.88,142.0,140.45,140.68,17328375
145,18-Apr-17,141.41,142.04,141.11,141.2,14697544
146,17-Apr-17,141.48,141.88,140.87,141.83,16582094
147,13-Apr-17,141.91,142.38,141.05,141.05,17822880
148,12-Apr-17,141.6,142.15,141.01,141.8,20350000
149,11-Apr-17,142.94,143.35,140.06,141.63,30379376
150,10-Apr-17,143.6,143.88,142.9,143.17,18933397
151,7-Apr-17,143.73,144.18,143.27,143.34,16672198
152,6-Apr-17,144.29,144.52,143.45,143.66,21149034
153,5-Apr-17,144.22,145.46,143.81,144.02,27717854
154,4-Apr-17,143.25,144.89,143.17,144.77,19891354
155,3-Apr-17,143.71,144.12,143.05,143.7,19985714
156,31-Mar-17,143.72,144.27,143.01,143.66,19661651
157,30-Mar-17,144.19,144.5,143.5,143.93,21207252
158,29-Mar-17,143.68,144.49,143.19,144.12,29189955
159,28-Mar-17,140.91,144.04,140.62,143.8,33374805
160,27-Mar-17,139.39,141.22,138.62,140.88,23575094
161,24-Mar-17,141.5,141.74,140.35,140.64,22395563
162,23-Mar-17,141.26,141.58,140.61,140.92,20346301
163,22-Mar-17,139.84,141.6,139.76,141.42,25860165
164,21-Mar-17,142.11,142.8,139.73,139.84,39529912
165,20-Mar-17,140.4,141.5,140.23,141.46,21542038
166,17-Mar-17,141.0,141.0,139.89,139.99,43884952
167,16-Mar-17,140.72,141.02,140.26,140.69,19231998
168,15-Mar-17,139.41,140.75,139.02,140.46,25691774
169,14-Mar-17,139.3,139.65,138.84,138.99,15309065
170,13-Mar-17,138.85,139.43,138.82,139.2,17421717
171,10-Mar-17,139.25,139.36,138.64,139.14,19612801
172,9-Mar-17,138.74,138.79,137.05,138.68,22155904
